model,benchmark,problem_count,proposal_majority_accuracy,integrator_accuracy,integrator_only,majority_only,strict_majority_problems,strict_majority_follow_rate
gpt_oss_120b,omnimath2,4181,0.7079646017699115,0.782827074862473,382,69,3343,0.9198324857912055
gpt_oss_120b,jeebench,515,0.8601941747572815,0.8601941747572815,19,19,487,0.944558521560575
gpt_oss_120b,scibench,580,0.7775862068965518,0.7931034482758621,18,9,465,0.9698924731182795
gpt_oss_120b,labbench,741,0.4777327935222672,0.398110661268556,43,102,553,0.6130198915009042
gpt_oss_120b,mascqa,649,0.901386748844376,0.9121725731895224,14,7,630,0.9666666666666667
gpt_oss_120b,pooled,6666,0.719021902190219,0.7595259525952596,476,206,5478,0.900693683826214
gemma_4_31b,omnimath2,4048,0.29199604743083,0.7747035573122529,1972,18,2622,0.5720823798627003
gemma_4_31b,jeebench,512,0.388671875,0.890625,261,4,414,0.533816425120773
gemma_4_31b,scibench,580,0.23793103448275862,0.7362068965517241,290,1,201,0.7611940298507462
gemma_4_31b,labbench,667,0.631184407796102,0.6851574212893553,50,14,656,0.8871951219512195
gemma_4_31b,mascqa,649,0.6825885978428351,0.9337442218798151,163,0,530,0.8830188679245283
gemma_4_31b,pooled,6456,0.3691140024783148,0.7871747211895911,2736,37,4423,0.6610897580827493
