model,benchmark,problem_id,held_out_block,selected_action,selected_action_label,selector_value,full_value,random_all6_value,random_removal_value,correctness_heuristic_action,correctness_heuristic_label,correctness_heuristic_value,hindsight_action,hindsight_value,selector_fullA_action,selector_fullA_value,selector_fullB_action,selector_fullB_value,proposal_correctness
oss,omni_16k,p_2eb8a8c913fde7a9,0,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_2eb8a8c913fde7a9,1,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_2eb8a8c913fde7a9,2,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_2eb8a8c913fde7a9,3,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_2eb8a8c913fde7a9,4,0,full,1.0,1.0,1.0,1.0,0,full,1.0,0,1.0,0,1.0,0,1.0,"[1, 1, 1, 1, 1]"
oss,omni_16k,p_76ce092b640a70ad,0,5,remove_h4,1.0,0.5,0.4166666666666667,0.4,2,remove_h1,1.0,2,1.0,5,1.0,5,1.0,"[1, 0, 1, 1, 0]"
oss,omni_16k,p_76ce092b640a70ad,1,5,remove_h4,0.0,0.0,0.16666666666666666,0.2,2,remove_h1,0.0,3,1.0,5,0.0,5,0.0,"[1, 0, 1, 1, 0]"
oss,omni_16k,p_76ce092b640a70ad,2,2,remove_h1,0.0,0.0,0.16666666666666666,0.2,2,remove_h1,0.0,5,1.0,2,0.0,0,0.0,"[1, 0, 1, 1, 0]"
oss,omni_16k,p_76ce092b640a70ad,3,5,remove_h4,0.0,1.0,0.3333333333333333,0.2,2,remove_h1,1.0,0,1.0,5,0.0,5,0.0,"[1, 0, 1, 1, 0]"
oss,omni_16k,p_76ce092b640a70ad,4,2,remove_h1,0.0,0.0,0.16666666666666666,0.2,2,remove_h1,0.0,5,1.0,2,0.0,0,0.0,"[1, 0, 1, 1, 0]"
oss,omni_16k,p_f17243dbd98efc5b,0,0,full,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,0,0.0,"[1, 0, 0, 0, 1]"
oss,omni_16k,p_f17243dbd98efc5b,1,0,full,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,0,0.0,"[1, 0, 0, 0, 1]"
oss,omni_16k,p_f17243dbd98efc5b,2,0,full,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,0,0.0,"[1, 0, 0, 0, 1]"
oss,omni_16k,p_f17243dbd98efc5b,3,0,full,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,0,0.0,"[1, 0, 0, 0, 1]"
oss,omni_16k,p_f17243dbd98efc5b,4,0,full,0.0,0.0,0.0,0.0,2,remove_h1,0.0,0,0.0,0,0.0,0,0.0,"[1, 0, 0, 0, 1]"
oss,omni_16k,p_bdd7716d9dedd41d,0,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 1, 0]"
oss,omni_16k,p_bdd7716d9dedd41d,1,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 1, 0]"
oss,omni_16k,p_bdd7716d9dedd41d,2,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 1, 0]"
oss,omni_16k,p_bdd7716d9dedd41d,3,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 1, 0]"
oss,omni_16k,p_bdd7716d9dedd41d,4,0,full,0.0,0.0,0.0,0.0,1,remove_h0,0.0,0,0.0,0,0.0,0,0.0,"[0, 0, 0, 1, 0]"
